Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,CHN,1115133158252.3,1259990455655.89,1471908821237.84,1715736670547.89,1981096801679.68,2244100189369.77,2512072566150.02,2791272723017.01,3043920539104.22,3324630678666.54,3687574239861.69,4082744489730.68,4526001287014.73,5072700102298.91,5735988672390.37,6588682974548.93,7651477145393.93,8975179758454.35,10033103023651.9,11059872991679.5,12378799198991.3,13844365748483.2,15124539500643.5,16185062523348.3,17121277095396.4,17796747039247.2,18712097152454.8,19887032723592.5,21730684677908.8,23460170142987.6
Cote d'Ivoire,CIV,24493303203.5317,25331969784.4608,25845898316.3601,26407331878.5779,27190020837.4148,29738267098.4295,32623439466.108,34428330506.5596,36532485359.142,37659397374.1766,37704903407.4987,38578699258.3885,38535391861.0773,38717398903.2606,40249503254.546,42217625707.8964,44154536392.9457,46140929527.8869,48234544140.3258,50182540177.2699,51791592985.974,50553775704.1465,56584389144.1854,62472328771.073,70830156789.7432,108068702923.226,112609566975.11,118051344947.092,129046039593.66,140293005796.722
Cameroon,CMR,21856882108.9914,21735436261.6035,21541612450.9006,20302814810.1133,21176783633.0777,22371022743.9338,23774126625.1248,25449232615.96,26894363696.9479,28453642063.2374,30123382459.2046,32128792499.952,34019889758.192,36234280995.757,39732963801.8972,41798500645.5819,44552398863.8863,47991918638.4116,50632335350.3153,52140052680.379,54552906079.9921,57992159983.0529,61350020204.4768,66289532991.1811,72249773159.4018,75964910602.352,81471243200.7112,87320624933.3409,93012146159.9311,98435605135.4602
"Congo, Dem. Rep.",COD,30554562462.1677,28927814575.7845,26480409870.5992,23456641043.2744,23023186297.6039,23670484997.3381,23857274380.5833,22905484749.5202,22787083138.3479,22128994489.8202,21060176244.8383,21070113823.8284,22034314859.5421,23695372342.8564,25972970911.0891,28425131019.7898,30843600276.3775,33654656289.1413,36445343420.3665,37771654915.0053,40927874364.6218,44655249523.1256,46214046396.4042,53767800424.5674,62684684446.4372,69035657196.8067,75926663565.3293,86267287184.0017,93443149857.6988,99240953692.7149
"Congo, Rep.",COG,7615524679.08091,8061651908.50968,8460734339.21676,8576340597.18254,8278313192.28171,8788730901.59159,9333638584.46282,9435263681.20791,9898076585.68544,9781707094.53138,10758001076.2908,11412026702.6526,12123692943.7334,12449270155.0335,13228898483.5535,14698931880.3082,16088115540.4573,16258899445.2043,17498762837.2202,18949100890.1156,20847579111.5603,22011087478.486,22089821362.3766,22011487632.1302,22266279520.7965,16214020317.9218,16923260487.6042,17624446004.4364,18328973893.6181,18480730388.655
Colombia,COL,165917402800.833,174961647946.545,186187218864.269,200863027333.268,217081121340.307,233163261877.975,242313821461.541,254947667742.419,259286156969.688,251971929029.896,265139277583.53,275501257534.257,286866650066.203,303642993712.708,328447014339.893,355031898567.742,390344576683.769,427839047914.333,450482195447.126,459089499039.062,485313992991.422,529875186711.481,553768023392.024,591783692551.881,625019201607.325,630399533935.377,672093819865.918,700091417478.529,743037024275.791,787496727437.912
Comoros,COM,653375808.181611,639025396.846704,709345690.48293,747980654.655669,723640739.145077,765486984.522533,769434529.706567,814246707.139968,833971599.142553,862293248.042958,977201192.292442,1021932606.37642,1062232344.84387,1104722039.49551,1156241340.02368,1226088470.98779,1296628558.18636,1342111857.86002,1422946026.54992,1479676880.55835,1553800742.63986,1651292301.29229,1817991275.62343,1954973713.18646,2063131653.84176,2106508753.21871,2278472094.4975,2467927827.4934,2612830026.65961,2730570852.23509
Cabo Verde,CPV,359431219.653916,376803922.726496,427543640.296838,475787305.336714,579164670.637401,675343429.031189,765740267.212516,865551005.85095,984855879.416444,1111197967.5301,1298320125.2977,1356407350.83982,1450212561.97118,1538833769.86947,1741402947.53682,1919769965.27839,2135774029.51554,2525862345.0328,2746244179.58414,2732025196.26169,2804400161.51125,2976609859.53646,2939948400.20897,2964468795.09437,2979100325.6128,3145505183.22012,3358352135.31607,3570702548.67827,3820572281.68291,4107506078.44727
Costa Rica,CRI,15776650517.5828,16679710659.7934,18628743283.324,20421707789.0791,21793733259.1441,23167773327.3762,23884007821.2488,25647912982.0849,27742212820.8573,29252524209.9469,31052821238.2308,32841605251.4018,34459246073.3237,36592824856.0043,39207578595.8435,41993822487.6978,46396020621.7436,51533724552.6488,54978842054.561,54860309155.153,58247832307.8487,62025773108.0525,66061087414.0291,69477332172.534,74918138321.3666,80407388573.9495,88230343840.0475,94605544822.0987,99354588663.7552,103143923030.758
Caribbean small states,CSS,36255262254.0263,38272948321.7802,40359138290.3253,42645291361.375,44759391934.304,46999255415.3455,49491750012.3809,51948814634.3682,54052509843.7883,57090690403.0708,60579619171.7685,63279385460.4334,66800007954.7962,72508039022.9104,77697390918.3894,83092073035.1466,91870657196.0263,97607669926.0417,101069960949.112,98208263178.7654,100844059859.728,104101085368.17,104526252521.997,107003411599.751,108592876532.792,107149485953.056,107480937878.392,111470090881.037,115734706831.368,118796116091.033
